n, iterator-time, recursive-time
642,785,2252
643,785,2275
644,787,2244
645,793,2258
646,793,2163
647,791,2313
648,794,2209
649,779,2050
650,788,1999
651,787,2119
652,791,1993
653,792,2076
654,802,2486
655,789,2324
656,788,2314
657,790,2288
658,793,2279
659,798,2362
660,794,2369
661,792,2130
662,795,2244
663,800,1980
664,797,1835
665,800,1867
666,801,1844
667,804,1858
668,802,1839
669,803,1962
670,798,1948
671,803,1988
672,801,1990
673,812,2133
674,820,2055
675,814,2037
676,817,2081
677,807,1837
678,814,2103
679,814,1989
680,816,2307
681,856,2122
682,816,2158
683,822,2154
684,825,2118
685,823,2208
686,824,2182
687,821,2249
688,822,2111
689,827,2106
690,828,2315
691,829,2108
692,833,2411
693,833,2298
694,834,2290
695,832,2309
696,829,2288
697,839,2273
698,835,2268
699,836,2013
700,845,2275
701,842,2200
702,852,2187
703,840,2351
704,840,2262
705,848,2347
706,845,2381
707,855,2291
708,851,2264
709,848,2038
710,847,2019
711,851,2095
712,850,1995
713,851,1991
714,855,2034
715,857,2018
716,855,2061
717,856,2063
718,858,2154
719,860,2149
720,859,2329
721,863,2142
722,862,2174
723,867,2071
724,865,2153
725,864,2161
726,864,2164
727,865,2091
728,867,2068
729,873,2103
730,864,2077
731,871,2136
732,872,2186
733,870,2089
734,877,2009
735,881,2260
736,894,2369
737,891,2306
738,886,2433
739,897,2357
740,886,2291
741,887,2131
742,889,2430
743,889,2270
744,898,2327
745,913,2433
746,904,2367
747,905,2504
748,904,2255
749,903,2141
750,895,2439
751,908,2315
752,912,2386
753,912,2292
754,911,2396
755,915,2338
756,910,2262
757,920,2229
758,917,2189
759,912,2314
760,913,2273
761,922,2278
762,923,2234
763,928,2242
764,939,2376
765,923,2402
766,931,2431
767,926,2500
768,953,2524
769,931,2342
770,921,2337
771,938,2465
772,939,2385
773,935,2584
774,938,2458
775,936,2483
776,941,2425
777,936,2497
778,930,2455
779,931,2492
780,931,2502
781,928,2609
782,934,2530
783,932,2308
784,934,2376
785,939,2382
786,930,2253
787,932,2259
788,932,2408
789,939,2114
790,942,2117
791,937,2138
792,941,2128
793,932,2150
794,940,2256
795,939,2225
796,939,2265
797,946,2171
798,940,2260
799,947,2220
800,951,2305
801,950,2282
802,947,2339
803,947,2235
804,947,2117
805,950,2151
806,951,2257
807,953,2347
808,959,2236
809,1078,2305
810,950,2237
811,954,2223
812,963,2205
813,954,2340
814,961,2265
815,965,2458
816,968,2263
817,963,2286
818,969,2229
819,967,2533
820,972,2399
821,975,2391
822,975,2421
823,973,2454
824,974,2607
